ntdll_8                                             0000000180085280 8   
NtReadOnlyEnlistment                                00000001800A8B50 500 
NtReadRequestData                                   00000001800A6B40 501 
NtReadVirtualMemory                                 00000001800A68A0 502 
NtRecoverEnlistment                                 00000001800A8B70 503 
NtRecoverResourceManager                            00000001800A8B90 504 
NtRecoverTransactionManager                         00000001800A8BB0 505 
NtRegisterProtocolAddressInformation                00000001800A8BD0 506 
NtRegisterThreadTerminatePort                       00000001800A8BF0 507 
NtReleaseKeyedEvent                                 00000001800A8C10 508 
NtReleaseMutant                                     00000001800A64C0 509 
NtReleaseSemaphore                                  00000001800A6200 510 
NtReleaseWorkerFactoryWorker                        00000001800A8C30 511 
NtRemoveIoCompletion                                00000001800A61E0 512 
NtRemoveIoCompletionEx                              00000001800A8C50 513 
NtRemoveProcessDebug                                00000001800A8C70 514 
NtRenameKey                                         00000001800A8C90 515 
NtRenameTransactionManager                          00000001800A8CB0 516 
NtReplaceKey                                        00000001800A8CD0 517 
NtReplacePartitionUnit                              00000001800A8CF0 518 
NtReplyPort                                         00000001800A6240 519 
NtReplyWaitReceivePort                              00000001800A6220 520 
NtReplyWaitReceivePortEx                            00000001800A6620 521 
NtReplyWaitReplyPort                                00000001800A8D10 522 
NtRequestPort                                       00000001800A8D30 523 
NtRequestWaitReplyPort                              00000001800A6500 524 
NtResetEvent                                        00000001800A8D50 525 
NtResetWriteWatch                                   00000001800A8D70 526 
NtRestoreKey                                        00000001800A8D90 527 
NtResumeProcess                                     00000001800A8DB0 528 
NtResumeThread                                      00000001800A6B00 529 
NtRevertContainerImpersonation                      00000001800A8DD0 530 
NtRollbackComplete                                  00000001800A8DF0 531 
NtRollbackEnlistment                                00000001800A8E10 532 
NtRollbackRegistryTransaction                       00000001800A8E30 533 
NtRollbackTransaction                               00000001800A8E50 534 
NtRollforwardTransactionManager                     00000001800A8E70 535 
NtSaveKey                                           00000001800A8E90 536 
NtSaveKeyEx                                         00000001800A8EB0 537 
NtSaveMergedKeys                                    00000001800A8ED0 538 
NtSecureConnectPort                                 00000001800A8EF0 539 
NtSerializeBoot                                     00000001800A8F10 540 
NtSetBootEntryOrder                                 00000001800A8F30 541 
NtSetBootOptions                                    00000001800A8F50 542 
NtSetCachedSigningLevel                             00000001800A8F70 543 
NtSetCachedSigningLevel2                            00000001800A8F90 544 
NtSetContextThread                                  00000001800A8FB0 545 
NtSetDebugFilterState                               00000001800A8FD0 546 
NtSetDefaultHardErrorPort                           00000001800A8FF0 547 
NtSetDefaultLocale                                  00000001800A9010 548 
