ntdll_8                                             0000000180085280 8   
_ltoa_s                                             00000001800A08B0 2124
_ltow                                               0000000180097290 2125
_ltow_s                                             00000001800A0BA0 2126
_makepath_s                                         00000001800A0E60 2127
_memccpy                                            00000001800974E0 2128
_memicmp                                            0000000180097570 2129
_setjmp                                             00000001800AB7C0 2130
_setjmpex                                           00000001800AB880 2131
_snprintf                                           0000000180097590 2132
_snprintf_s                                         00000001800A0FA0 2133
_snscanf_s                                          00000001800A1070 2134
_snwprintf                                          0000000180097640 2135
_snwprintf_s                                        00000001800A10B0 2136
_snwscanf_s                                         00000001800A1190 2137
_splitpath                                          0000000180097720 2138
_splitpath_s                                        00000001800A11D0 2139
_strcmpi                                            0000000180097A70 2140
_stricmp                                            0000000180097A70 2141
_strlwr                                             0000000180097A80 2142
_strlwr_s                                           0000000180097AB0 2143
_strnicmp                                           0000000180097B70 2144
_strnset_s                                          00000001800A1470 2145
_strset_s                                           00000001800A1500 2146
_strupr                                             0000000180097B80 2147
_strupr_s                                           0000000180097BD0 2148
_swprintf                                           000000018009BAC0 2149
_ui64toa                                            00000001800970E0 2150
_ui64toa_s                                          00000001800A08E0 2151
_ui64tow                                            00000001800972C0 2152
_ui64tow_s                                          00000001800A0BD0 2153
_ultoa                                              0000000180097140 2154
_ultoa_s                                            00000001800A0900 2155
_ultow                                              00000001800972E0 2156
_ultow_s                                            00000001800A0BF0 2157
_vscwprintf                                         0000000180097C40 2158
_vsnprintf                                          0000000180097D70 2159
_vsnprintf_s                                        00000001800A0FD0 2160
_vsnwprintf                                         0000000180097E40 2161
_vsnwprintf_s                                       00000001800A10E0 2162
_vswprintf                                          0000000180097CB0 2163
_wcsicmp                                            0000000180097F40 2164
_wcslwr                                             0000000180097F90 2165
_wcslwr_s                                           0000000180097FE0 2166
_wcsnicmp                                           0000000180098060 2167
_wcsnset_s                                          00000001800980C0 2168
_wcsset_s                                           0000000180098150 2169
_wcstoi64                                           00000001800981B0 2170
_wcstoui64                                          00000001800981E0 2171
_wcsupr                                             0000000180098480 2172
_wcsupr_s                                           00000001800984C0 2173
_wmakepath_s                                        00000001800A1560 2174
_wsplitpath_s                                       00000001800A16D0 2175
_wtoi                                               0000000180098540 2176
_wtoi64                                             0000000180098570 2177
_wtol                                               0000000180098590 2178
abs                                                 0000000180099E50 2179
atan                                                00000001800985B0 2180
atan2                                               0000000180098820 2181
atoi                                                0000000180096FF0 2182
atol                                                0000000180097020 2183
bsearch                                             0000000180098FF0 2184
ceil                                                0000000180099100 2185
cos                                                 0000000180099220 2186
fabs                                                0000000180099B30 2187
floor                                               0000000180099C20 2188
isalnum                                             0000000180096DC0 2189
isalpha                                             0000000180096DF0 2190
iscntrl                                             0000000180096E20 2191
isdigit                                             0000000180096E50 2192
isgraph                                             0000000180096E80 2193
islower                                             0000000180096EB0 2194
isprint                                             0000000180096EE0 2195
ispunct                                             0000000180096F10 2196
isspace                                             0000000180096F40 2197
isupper                                             0000000180096F70 2198
iswalnum                                            0000000180099D50 2199
iswalpha                                            0000000180099D60 2200
iswascii                                            0000000180099D70 2201
iswctype                                            0000000180099E20 2202
iswdigit                                            0000000180099D90 2203
iswgraph                                            0000000180099DA0 2204
iswlower                                            0000000180099DB0 2205
iswprint                                            0000000180099DC0 2206
iswspace                                            0000000180099DD0 2207
iswxdigit                                           0000000180099DE0 2208
isxdigit                                            0000000180096FA0 2209
labs                                                0000000180099E50 2210
log                                                 0000000180099E60 2211
longjmp                                             000000018009A150 2212
mbstowcs                                            000000018009A180 2213
memchr                                              000000018009A250 2214
memcmp                                              000000018009A280 2215
memcpy                                              00000001800AC640 2216
memcpy_s                                            00000001800A1990 2217
memmove                                             00000001800AC640 2218
memmove_s                                           00000001800A1A40 2219
memset                                              00000001800AC980 2220
pow                                                 00000001800AB920 2221
qsort                                               000000018009A360 2222
qsort_s                                             000000018009A750 2223
sin                                                 0000000180099640 2224
sprintf                                             000000018009AB80 2225
sprintf_s                                           00000001800A1AC0 2226
sqrt                                                000000018009AC20 2227
sscanf                                              000000018009AD30 2228
sscanf_s                                            00000001800A1B40 2229
strcat                                              000000018009AE00 2230
strcat_s                                            00000001800A1BA0 2231
strchr                                              000000018009AF60 2232
strcmp                                              000000018009AF90 2233
strcpy                                              000000018009AEA0 2234
strcpy_s                                            00000001800A1C40 2235
strcspn                                             000000018009B050 2236
strlen                                              000000018009B100 2237
strncat                                             000000018009B1C0 2238
strncat_s                                           00000001800A1CD0 2239
strncmp                                             000000018009B370 2240
strncpy                                             000000018009B440 2241
strncpy_s                                           00000001800A1DD0 2242
strnlen                                             000000018009B5B0 2243
strpbrk                                             000000018009B5D0 2244
strrchr                                             000000018009B680 2245
strspn                                              000000018009B6B0 2246
strstr                                              000000018009B780 2247
strtok_s                                            00000001800A1EC0 2248
strtol                                              000000018009BA20 2249
strtoul                                             000000018009BA80 2250
swprintf                                            000000018009BAC0 2251
swprintf_s                                          00000001800A1FE0 2252
swscanf_s                                           00000001800A2070 2253
tan                                                 000000018009BB80 2254
tolower                                             000000018009C030 2255
toupper                                             000000018009C070 2256
towlower                                            000000018009C0E0 2257
towupper                                            000000018009C110 2258
vDbgPrintEx                                         00000001800DCDF0 2259
vDbgPrintExWithPrefix                               00000001800DCE20 2260
vsprintf                                            000000018009C1A0 2261
vsprintf_s                                          00000001800A1AF0 2262
vswprintf_s                                         00000001800A2010 2263
wcscat                                              000000018009C1C0 2264
wcscat_s                                            00000001800A20D0 2265
wcschr                                              000000018009C230 2266
wcscmp                                              000000018009C260 2267
wcscpy                                              000000018009C200 2268
wcscpy_s                                            00000001800A2180 2269
wcscspn                                             000000018009C2A0 2270
wcslen                                              000000018009C2F0 2271
wcsncat                                             000000018009C310 2272
wcsncat_s                                           00000001800A2210 2273
wcsncmp                                             000000018009C360 2274
wcsncpy                                             000000018009C3A0 2275
wcsncpy_s                                           00000001800A2320 2276
wcsnlen                                             000000018009C3F0 2277
wcspbrk                                             000000018009C420 2278
wcsrchr                                             000000018009C470 2279
wcsspn                                              000000018009C4B0 2280
wcsstr                                              000000018009C500 2281
wcstok_s                                            00000001800A2430 2282
wcstol                                              000000018009C780 2283
wcstombs                                            000000018009C820 2284
wcstoul                                             000000018009C7E0 2285
